Date,Payee,Memo,Amount
31-Jan-2021,"",PPH,-5936.0
31-Jan-2021,"",BAGIHASIL/BONUS,29676.0
31-Jan-2021,"",BIAYA ADM REK,-7500.0
28-Jan-2021,"",TRANSFER KE Sdr,-40850000.0
27-Jan-2021,"",TRANSFER DARI Ibu,100000.0
19-Jan-2021,"",TRANSFER KE,-1000.0
19-Jan-2021,"",TRANSFER KE AIRPAY Tanpa Kategori,-1000000.0
19-Jan-2021,"",TRANSFER KE,-1000.0
19-Jan-2021,"",TRANSFER KE,-1000000.0
17-Jan-2021,"",TRANSFER KE Sdr,-17800000.0
